"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Laptop\mvd\store\useLocalStore.ts", "TypeScript", -416, -59, -71, -546
"c:\Users\Laptop\mvd\utils\imagePreLoad.ts", "TypeScript", 17, 1, 3, 21
"c:\Users\Laptop\mvd\utils\scenarioUtils.ts", "TypeScript", 10, 1, 4, 15
"c:\Users\Laptop\mvd\utils\spiral.ts", "TypeScript", 37, 5, 7, 49
"Total", "-", -352, -52, -57, -461
